yelp_business_id,mapped_ROW_ID
p8_VUDYzBpaD9v_C471bxw,3530
EhGPj8iJDIdaHnWg9d5BgA,33958
WeKF3N1MK0eJQmZdxPL9pQ,32819
3ijLguDlxXRDSPHSVrikPQ,12533
VkC6GKsyrirYtEFlbFPJDQ,66518
iZ7WmS_6pAuP9PQ0VsUIMw,69952
nvbfWYxTNq5XgJkcAPcXNQ,73104
qaNt4vtVdge_S68DVjw5Jg,29947
L4wjHHeoJ33KK59i3xpOqw,40429
XvUu2SolFWL94EPEBrjEYQ,12006
ruR-mrEaNbFJGnM-WCbcgg,36044
sOTtZWyDG0VG5IxIXwIQpA,10044
dIN8eWK3wH4bxHN7x-k8Jw,43755
l0dOj4jI82qk-x6WVwNQLQ,41176
wVc3g-YfyDvkOLDecpr4DA,3309
eVAfix8Zw0tTDhTtTjxZmA,13305
ZLPPaAJnEvN8311zwXvw6w,81159
TFe1g7SvIUvukp3ybYZJOg,37066
TAAlaXAk9sWOUXZW1-wfYQ,71418
HD_T8ILGSAmqoUYVIgq5_Q,57912
OaqbVUL9bYMycpQNYfHBng,29908
InNbPyC-wZli-CcLdaitFQ,44865
c_P-PDv_1omKKKmeCJxG8w,7214
otI0jgKa39SZR-DG_rSyeg,36748
UNz_u4TVswrPg9JyB0qwbw,63504
tuUX96eC3SBnNKNO7l6rew,73019
9xPK9u_AGM1sxoG2CU9psA,76120
2TP8uQkMDo7Av5ATNJtI9Q,22870
_rbjvugUv0IPv7HFcdTdIQ,38917
ZTrkiSudc8vL3NB2N7XFJw,44441
ra65zNEvp9skoxr9wSydTw,38809
a1r6nEAb6Va3x5IgIz5kGQ,55061
NIepcNSKopCiennUfPDkNQ,41266
haeyExjSiJNENQKTxTmiPQ,43457
UkoseRjoLT4K2bEzvmyhYA,52416
_Ss4d4dYzehTmWJGpkqL7w,9922
zd6mwM53f1E5OG4sPzP74Q,68536
cXN64viNvfIqtw5fSOS7aw,74540
GUXQCsnKIzSpRJcAbTT59Q,68216
1XHDkz_n-H3U--xCmC1Lmw,89022
fRb2qBaL_0UcfsZKtZf1qg,15889
dERy_B711ru09qGE0aDOPw,10197
iDCAMAg7XPBx2g-82AIsgg,48921
Klb6f5FCiJrHRcTcn_yrnw,29078
